3 5:49:50 ITA 1987 M 9.433
4 5:57:06 ITA 1981 M 9.241
5 6:01:13 ITA 1983 M 9.136
6 6:05:45 ITA 1987 M 9.023
7 6:07:52 ITA 1984 M 8.971
8 6:10:26 ITA 1990 M 8.908
9 6:30:05 UKR 1988 F 8.46
10 6:44:51 ITA 1971 F 8.151
11 6:48:42 ITA 1976 M 8.074
13 6:58:54 ITA 1979 M 7.878
14 7:07:10 ITA 1981 M 7.725
17 7:24:41 ITA 1960 M 7.421
18 7:24:41 ITA 1958 M 7.421
19 7:31:23 ITA 1987 M 7.311
20 7:32:24 ITA 1980 M 7.294
21 7:33:20 ITA 1977 F 7.279
22 7:41:49 ITA 1977 M 7.146
24 7:48:18 ITA 1975 M 7.047
26 7:53:58 ITA 1974 F 6.963
27 7:54:21 ITA 1993 M 6.957
28 7:57:29 GER 1975 M 6.911
29 7:58:06 ITA 1970 M 6.902
30 8:01:04 ITA 1979 M 6.86
31 8:01:20 ITA 1991 M 6.856
33 8:15:02 ITA 1985 M 6.666
36 8:22:08 GER 1984 M 6.572
37 8:32:12 ITA 1984 F 6.443
39 8:48:58 ITA 1996 M 6.239
40 8:53:46 ITA 1998 M 6.182
41 8:56:51 ITA 1964 M 6.147
42 8:56:52 ITA 1972 M 6.147
43 9:00:51 ITA 1981 M 6.102
45 9:15:06 ITA 1978 M 5.945
46 9:15:08 ITA 1983 M 5.945
47 9:22:36 ITA 1966 M 5.866
48 9:30:01 ITA 1965 M 5.789
49 9:33:00 ITA 1985 M 5.759
51 9:36:29 ITA 1974 F 5.724
52 9:36:57 ITA 1978 F 5.72
53 9:37:02 ITA 1973 M 5.719
54 9:37:02 ITA 1977 M 5.719
55 9:41:45 ITA 1966 F 5.673
56 9:41:45 ITA 1969 F 5.673
57 9:46:34 ITA 1969 F 5.626
58 9:57:52 ITA 1970 M 5.52
59 10:02:17 ITA 1987 F 5.479
64 10:11:34 ITA 1980 M 5.396
67 10:24:38 ITA 1964 F 5.283
68 10:26:19 ITA 1976 F 5.269
69 10:28:17 ITA 1976 M 5.252
71 10:30:04 ITA 1962 F 5.238
73 10:48:30 ITA 1970 F 5.089
74 10:48:30 ITA 1971 M 5.089
75 10:48:53 GRE 1964 F 5.086
76 10:53:15 ITA 1971 M 5.052
78 11:11:00 ITA 1969 F 4.918
79 11:21:56 ITA 1973 M 4.839
80 11:36:41 ITA 1973 M 4.737
82 11:50:39 ITA 1967 M 4.644
83 12:00:49 ITA 1963 F 4.578
84 12:00:50 ITA 1963 M 4.578
89 12:46:06 ITA 1954 M 4.308
90 12:46:11 ITA 1952 M 4.307
