1 8:03:52 ITA 1989 M 7.936
2 8:17:19 FRA 1985 M 7.721
3 9:08:36 ITA 1980 M 7.0
4 9:17:12 ITA 1983 M 6.892
5 9:31:27 ITA 1986 M 6.72
7 9:33:48 ITA 1990 M 6.692
8 9:42:01 ITA 1996 M 6.598
10 10:00:03 ITA 1993 M 6.399
11 10:19:30 ITA 1985 M 6.199
12 10:20:07 POL 1981 M 6.192
13 10:21:49 ITA 1982 F 6.175
15 10:28:36 ITA 1975 M 6.109
16 10:30:38 GER 1972 F 6.089
17 10:34:57 ITA 1975 F 6.048
19 10:54:03 ITA 1986 F 5.871
20 10:59:59 ITA 1988 M 5.818
21 11:00:00 ITA 1980 M 5.818
22 11:02:45 ITA 1981 M 5.794
23 11:04:59 ITA 1983 M 5.775
24 11:11:29 ITA 1977 F 5.719
26 11:20:22 ITA 1971 M 5.644
27 11:20:24 ITA 1983 M 5.644
28 11:23:42 ITA 1980 M 5.616
29 11:27:27 SUI 1959 M 5.586
30 11:36:54 ITA 1980 M 5.51
31 11:37:19 ITA 1977 F 5.507
32 11:48:44 ITA 1975 M 5.418
33 11:49:20 FRA 1982 M 5.414
35 11:51:58 ITA 1971 M 5.394
37 11:59:13 ITA 1974 M 5.339
38 12:05:17 ITA 1967 M 5.294
40 12:13:13 ITA 1972 M 5.237
42 12:17:09 ITA 1978 M 5.209
44 12:28:11 ITA 1969 M 5.132
45 12:32:34 FRA 1975 M 5.103
46 12:34:37 SLO 1971 F 5.089
49 13:12:30 ITA 1978 M 4.845
52 13:31:58 ITA 1978 F 4.729
53 13:36:30 ITA 1978 M 4.703
54 13:37:51 ITA 1955 M 4.695
55 13:45:24 ITA 1967 M 4.652
56 13:45:27 SLO 1973 F 4.652
57 13:47:46 ITA 1984 M 4.639
58 13:50:07 ITA 1964 M 4.626
59 13:54:40 ITA 1971 F 4.601
60 14:09:31 ITA 1982 M 4.52
61 14:09:33 ITA 1988 M 4.52
62 14:11:27 ITA 1974 M 4.51
64 14:25:26 ITA 1982 M 4.437
65 14:53:39 ITA 1970 F 4.297
66 14:55:02 ITA 1965 M 4.29
