1 5:36:12 ITA 2002 M 9.816
2 5:38:07 ITA 1983 M 9.76
4 6:20:37 ITA 1984 M 8.67
6 6:36:43 ITA 1995 M 8.318
7 7:06:32 ITA 1984 F 7.737
8 7:07:29 ITA 2001 M 7.72
9 7:14:09 ITA 1986 M 7.601
10 7:18:28 ITA 1972 M 7.526
11 7:19:05 ITA 1981 M 7.516
12 7:20:34 ITA 1983 M 7.49
14 7:29:46 ITA 1984 M 7.337
15 7:35:27 ITA 1973 M 7.246
18 8:08:42 ITA 1967 M 6.753
19 8:12:20 ITA 1979 M 6.703
20 8:25:27 ITA 1988 M 6.529
21 9:03:07 ITA 1976 M 6.076
22 9:03:07 ITA 1982 M 6.076
23 9:11:04 ITA 1969 M 5.988
25 9:20:10 ITA 1962 M 5.891
27 9:22:02 ITA 1970 M 5.872
28 9:23:10 ITA 1990 M 5.86
31 9:32:36 ITA 1990 M 5.763
33 10:08:37 ITA 1985 M 5.422
34 10:08:37 ITA 1973 M 5.422
35 10:13:01 ITA 1989 M 5.383
36 10:13:05 ITA 1976 M 5.383
37 10:14:08 ITA 1977 M 5.373
38 11:21:29 ITA 1957 F 4.842
