1 6:23:56 ITA 1992 M 8.439
2 7:06:04 ITA 1979 M 7.604
3 7:10:03 ITA 1975 M 7.534
4 7:16:14 ITA 1973 M 7.427
5 7:30:54 ITA 1978 M 7.186
6 7:30:59 ITA 1979 F 7.184
9 8:19:56 ITA 1983 M 6.481
10 8:22:27 ITA 1979 M 6.448
11 9:02:44 ITA 1974 F 5.97
12 9:03:11 ITA 1987 M 5.965
13 9:09:43 ITA 1967 M 5.894
14 9:28:59 ITA 1962 M 5.694
15 9:33:57 ITA 1966 M 5.645
17 9:44:15 ITA 1975 M 5.546
18 9:47:56 ITA 1978 M 5.511
19 9:58:11 ITA 1966 M 5.416
20 10:13:47 ITA 1986 F 5.279
21 10:13:47 ITA 1969 M 5.279
22 10:13:47 ITA 1975 F 5.279
